Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Anisha,2023-10-25 07:58:26,00:00:05,Autoplayed: user action: None; ,Plot Clip: Kandasamys: The Baby,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,Not latest view,IN (India)
Anisha,2023-10-25 07:49:26,00:08:58,,The Big Bang Theory: Season 8: The Hook-Up Reverberation (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:09:15,Not latest view,IN (India)
Anisha,2023-10-25 07:46:00,00:00:31,Autoplayed: user action: None; ,Plot Clip: Kandasamys: The Baby,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,Not latest view,IN (India)
Anisha,2023-10-25 07:24:12,00:20:45,,The Office (U.S.): Season 2: Michael's Birthday (Episode 19),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:45,00:20:45,IN (India)
Anisha,2023-10-25 07:23:59,00:00:11,,The Office (U.S.): Season 2: Take Your Daughter to Work Day (Episode 18),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,00:00:11,IN (India)
Anisha,2023-10-24 16:40:40,00:00:20,Autoplayed: user action: None; ,Plot Clip: Kandasamys: The Baby,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:24,Not latest view,IN (India)
Anisha,2023-10-24 08:16:07,00:20:30,,The Office (U.S.): Season 2: Take Your Daughter to Work Day (Episode 18),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:30,Not latest view,IN (India)
Anisha,2023-10-24 08:08:11,00:01:24,Autoplayed: user action: None; ,Season 1 Inciting Incident Clip: Hard Broken,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:01:24,00:01:24,IN (India)
Anisha,2023-10-24 08:07:55,00:00:12,Autoplayed: user action: None; ,Season 4 Moment of High Emotion Clip: Sex Education,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,00:00:12,IN (India)
Anisha,2023-10-24 06:55:23,01:11:59,,Sex Education: Season 4: Episode 8,,Netflix Chrome MAC (Cadmium) HTML 5,01:22:25,01:22:25,IN (India)
Anisha,2023-10-23 19:03:12,00:00:31,Autoplayed: user action: None; ,Plot Clip: Kandasamys: The Baby,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,Not latest view,IN (India)
Anisha,2023-10-21 16:41:56,00:01:04,Autoplayed: user action: None; ,The Big Bang Theory: Season 1 - CLM 4,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:01:04,00:01:04,IN (India)
Anisha,2023-10-21 16:41:15,00:00:08,Autoplayed: user action: None; ,Sensory Clip 2: The Devil on Trial,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:08,00:00:08,IN (India)
Anisha,2023-10-21 16:40:08,00:00:18,Autoplayed: user action: None; ,Trailer: Dream Girl 2,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:18,00:00:18,IN (India)
Anisha,2023-10-19 09:09:47,00:00:06,Autoplayed: user action: None; ,Season 1 Genre Specific Moment Clip: Kaala Paani,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,00:00:06,IN (India)
Anisha,2023-10-19 08:49:27,00:20:17,,The Office (U.S.): Season 2: Dwight's Speech (Episode 17),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:44,00:20:44,IN (India)
Anisha,2023-10-19 08:29:09,00:20:17,,The Office (U.S.): Season 2: Valentine's Day (Episode 16),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:44,00:20:44,IN (India)
Anisha,2023-10-19 08:19:54,00:09:14,,The Office (U.S.): Season 2: Boys and Girls (Episode 15),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:57,00:20:57,IN (India)
Anisha,2023-10-18 19:17:47,00:11:19,,The Office (U.S.): Season 2: Boys and Girls (Episode 15),,Netflix Chrome MAC (Cadmium) HTML 5,00:11:43,Not latest view,IN (India)
Anisha,2023-10-18 19:15:19,00:02:27,,The Office (U.S.): Season 2: The Carpet (Episode 14),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:42,00:20:42,IN (India)
Anisha,2023-10-14 16:56:11,00:10:08,,Sex Education: Season 4: Episode 8,,Netflix Chrome MAC (Cadmium) HTML 5,00:10:08,Not latest view,IN (India)
Anisha,2023-10-14 16:55:45,00:00:05,Autoplayed: user action: None; ,Chandigarh Kare Aashiqiu_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,IN (India)
Anisha,2023-10-11 19:09:58,00:17:48,,The Office (U.S.): Season 2: The Carpet (Episode 14),,Netflix Chrome MAC (Cadmium) HTML 5,00:18:15,Not latest view,IN (India)
Anisha,2023-10-11 19:09:47,00:00:04,Autoplayed: user action: None; ,The Office (U.S.): Season 1 - CLM 11,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Anisha,2023-10-11 19:08:04,00:00:05,Autoplayed: user action: None; ,Just Go With It_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,IN (India)
Anisha,2023-10-11 18:49:18,00:18:43,,The Big Bang Theory: Season 8: The First Pitch Insufficiency (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:18:56,00:18:56,IN (India)
Anisha,2023-10-11 18:49:08,00:00:04,Autoplayed: user action: None; ,The Big Bang Theory: Season 1 - CLM 2,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Anisha,2023-10-11 18:40:41,00:00:30,Autoplayed: user action: None; ,Just Go With It_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,Not latest view,IN (India)
Anisha,2023-10-11 18:20:24,00:20:14,,The Office (U.S.): Season 2: The Secret (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:40,00:20:40,IN (India)
Anisha,2023-10-11 18:20:01,00:00:06,Autoplayed: user action: None; ,Season 1 Trailer: Decoupled,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,IN (India)
Anisha,2023-10-11 18:19:59,00:00:06,Autoplayed: user action: None; ,Season 1 Trailer: Decoupled,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:06,Not latest view,IN (India)
Anisha,2023-10-11 09:02:36,00:00:13,Autoplayed: user action: None; ,Season 1 Inciting Incident Clip: Squid Game,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:12,00:00:12,IN (India)
Anisha,2023-10-11 08:07:27,00:53:45,,Sex Education: Season 4: Episode 7,,Netflix Chrome MAC (Cadmium) HTML 5,00:57:19,00:57:19,IN (India)
Anisha,2023-10-09 08:35:49,01:03:00,,Sex Education: Season 4: Episode 6,,Netflix Chrome MAC (Cadmium) HTML 5,01:03:00,01:03:00,IN (India)
Anisha,2023-10-09 08:35:36,00:00:10,,Sex Education: Season 4: Episode 5,,Netflix Chrome MAC (Cadmium) HTML 5,00:52:23,00:52:23,IN (India)
Anisha,2023-10-08 18:28:01,00:00:51,Autoplayed: user action: None; ,OMG 2_hook_04_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,00:00:00,IN (India)
Anisha,2023-10-08 17:35:32,00:52:13,,Sex Education: Season 4: Episode 5,,Netflix Chrome MAC (Cadmium) HTML 5,00:52:13,Not latest view,IN (India)
Anisha,2023-10-08 17:35:04,00:00:16,Autoplayed: user action: None; ,Trailer: OMG 2,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:16,00:00:16,IN (India)
Anisha,2023-10-08 17:34:57,00:00:05,Autoplayed: user action: None; ,Trailer: OMG 2,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,Not latest view,IN (India)
Anisha,2023-10-08 17:28:49,00:06:00,,BLOCKBUSTER: Season 1: The Itsy Bizzies (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:24:57,00:24:57,IN (India)
Anisha,2023-10-07 18:50:35,00:03:52,,BLOCKBUSTER: Season 1: The Itsy Bizzies (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:18:57,Not latest view,IN (India)
Anisha,2023-10-07 17:22:47,00:15:05,,BLOCKBUSTER: Season 1: The Itsy Bizzies (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:15:05,Not latest view,IN (India)
Anisha,2023-10-07 17:22:22,00:00:14,Autoplayed: user action: None; ,Trailer: Wedding Season,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:34,00:00:34,IN (India)
Anisha,2023-10-07 17:22:14,00:00:13,Autoplayed: user action: None; ,Trailer: Wedding Season,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:26,Not latest view,IN (India)
Anisha,2023-10-07 17:20:25,00:01:31,Autoplayed: user action: None; ,The Big Bang Theory: Season 8: The First Pitch Insufficiency (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:01:45,Not latest view,IN (India)
Anisha,2023-10-07 17:00:56,00:19:25,,The Big Bang Theory: Season 8: The Junior Professor Solution (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,00:19:28,00:19:28,IN (India)
Anisha,2023-10-07 17:00:37,00:00:04,Autoplayed: user action: None; ,Main Character Intro Clip: Khufiya,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Anisha,2023-10-06 08:46:59,00:00:07,Autoplayed: user action: None; ,Season 1 Plot Clip: Everything Now,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,IN (India)
Anisha,2023-10-06 07:51:33,00:52:54,,Sex Education: Season 4: Episode 4,,Netflix Chrome MAC (Cadmium) HTML 5,00:52:54,00:52:54,IN (India)
Anisha,2023-10-06 07:45:51,00:05:36,,The Office (U.S.): Season 2: The Injury (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:40,00:20:40,IN (India)
Anisha,2023-10-05 19:28:27,00:14:43,,The Office (U.S.): Season 2: The Injury (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,00:15:04,Not latest view,IN (India)
Anisha,2023-10-05 19:07:02,00:20:40,,The Office (U.S.): Season 2: Booze Cruise (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:40,00:20:40,IN (India)
Anisha,2023-10-05 09:01:39,00:00:26,Autoplayed: user action: None; ,Season 1 Plot Clip: Everything Now,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:26,Not latest view,IN (India)
Anisha,2023-10-05 08:05:36,00:52:08,,Sex Education: Season 4: Episode 3,,Netflix Chrome MAC (Cadmium) HTML 5,00:52:08,00:52:08,IN (India)
Anisha,2023-10-04 20:54:18,00:00:06,Autoplayed: user action: None; ,Trailer: Miss Shetty Mr Polishetty,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:13,Not latest view,IN (India)
Anisha,2023-10-04 20:54:10,00:02:22,,Trailer: Miss Shetty Mr Polishetty,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,00:00:00,IN (India)
Anisha,2023-10-04 20:40:39,00:13:27,,The Office (U.S.): Season 2: Christmas Party (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:19,00:21:19,IN (India)
Anisha,2023-10-04 19:33:15,00:07:52,,The Office (U.S.): Season 2: Christmas Party (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,00:07:52,Not latest view,IN (India)
Anisha,2023-10-04 14:06:57,00:00:21,Autoplayed: user action: None; ,Kushi (Hindi) (Telugu 2023 Movie)_hook_05_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:40,00:00:40,IN (India)
Anisha,2023-10-04 08:27:47,00:00:26,Autoplayed: user action: None; ,Kushi (Hindi) (Telugu 2023 Movie)_hook_05_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:26,Not latest view,IN (India)
Anisha,2023-10-04 07:35:26,00:48:35,,Sex Education: Season 4: Episode 2,,Netflix Chrome MAC (Cadmium) HTML 5,00:48:35,00:48:35,IN (India)
Anisha,2023-10-04 07:34:50,00:00:34,Autoplayed: user action: None; ,Season 1 Sensory Clip: Beckham,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:34,00:00:34,IN (India)
Anisha,2023-10-03 08:59:59,00:00:05,Autoplayed: user action: None; ,Downton Abbey: A New Era_hook_04_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,IN (India)
Anisha,2023-10-03 07:59:18,00:52:28,,Sex Education: Season 4: Episode 1,,Netflix Chrome MAC (Cadmium) HTML 5,00:52:08,00:52:08,IN (India)
Anisha,2023-10-03 07:56:34,00:02:40,,Season 3 Recap: Sex Education,RECAP,Netflix Chrome MAC (Cadmium) HTML 5,00:02:40,00:02:40,IN (India)
Anisha,2023-10-02 20:28:27,00:00:11,Autoplayed: user action: None; ,Downton Abbey: A New Era_hook_04_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,Not latest view,IN (India)
Anisha,2023-10-02 20:27:25,00:00:51,,The Office (U.S.): Season 2: Email Surveillance (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:35,00:21:35,IN (India)
Anisha,2023-10-02 19:22:19,00:20:16,,The Office (U.S.): Season 2: Email Surveillance (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:44,Not latest view,IN (India)
Anisha,2023-10-02 19:22:08,00:00:09,Autoplayed: user action: None; ,The Big Bang Theory: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:09,00:00:09,IN (India)
Anisha,2023-10-02 04:10:48,00:00:18,Autoplayed: user action: None; ,Inciting Incident Clip: How To Deal With a Heartbreak,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:18,00:00:18,IN (India)
Anisha,2023-10-01 18:16:49,00:20:46,,The Big Bang Theory: Season 8: The Locomotion Interruption (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:46,00:20:46,IN (India)
Anisha,2023-10-01 17:56:06,00:20:42,,The Big Bang Theory: Season 7: The Status Quo Combustion (Episode 24),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:57,00:20:57,IN (India)
Anisha,2023-10-01 17:08:14,00:18:51,,The Big Bang Theory: Season 7: The Gorilla Dissolution (Episode 23),,Netflix Chrome MAC (Cadmium) HTML 5,00:19:09,00:19:09,IN (India)
Anisha,2023-10-01 17:07:52,00:00:14,Autoplayed: user action: None; ,Kushi (Telugu 2023 Movie)_hook_03_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:14,00:00:14,IN (India)
Anisha,2023-09-30 16:21:40,00:00:04,Autoplayed: user action: None; ,Season 1 Plot Clip: Choona,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Anisha,2023-09-30 16:00:43,00:20:34,,The Office (U.S.): Season 2: Performance Review (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:05,00:21:05,IN (India)
Anisha,2023-09-30 16:00:20,00:00:18,Autoplayed: user action: None; ,Season 1 Plot Clip: Choona,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:18,Not latest view,IN (India)
Anisha,2023-09-29 07:47:23,00:00:07,Autoplayed: user action: None; ,Clip: The Swan,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,00:00:07,IN (India)
Anisha,2023-09-29 07:46:11,00:00:15,Autoplayed: user action: None; ,The Office (U.S.): Season 1 - CLM 5,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:15,00:00:15,IN (India)
Anisha,2023-09-29 03:06:03,00:11:57,,The Big Bang Theory: Season 7: The Proton Transmogrification (Episode 22),,Apple iPhone 13 Pro,00:20:48,00:20:48,IN (India)
Anisha,2023-09-28 11:41:13,00:08:35,,The Big Bang Theory: Season 7: The Proton Transmogrification (Episode 22),,Apple iPhone 13 Pro,00:08:52,Not latest view,IN (India)
Anisha,2023-09-28 11:38:08,00:02:46,,BLOCKBUSTER: Season 1: Evan and Trevin (Episode 3),,Apple iPhone 13 Pro,00:24:02,00:24:02,IN (India)
Anisha,2023-09-28 09:01:46,00:00:28,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: The Recruit,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:25,00:00:25,IN (India)
Anisha,2023-09-28 08:11:13,00:50:11,,Khoobsurat,,Netflix Chrome MAC (Cadmium) HTML 5,01:59:37,01:59:37,IN (India)
Anisha,2023-09-28 08:10:55,00:00:11,Autoplayed: user action: None; ,Trailer: Love is in the Air,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:22,00:00:22,IN (India)
Anisha,2023-09-28 08:07:07,00:00:15,Autoplayed: user action: None; ,Trailer: Love is in the Air,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:15,Not latest view,IN (India)
Anisha,2023-09-28 03:03:20,00:05:56,,BLOCKBUSTER: Season 1: Evan and Trevin (Episode 3),,Apple iPhone 13 Pro,00:21:16,Not latest view,IN (India)
Anisha,2023-09-27 19:43:58,00:00:14,Autoplayed: user action: None; ,Main Character Clip 4: Glass Onion: A Knives Out Mystery,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:14,00:00:14,IN (India)
Anisha,2023-09-27 19:38:15,00:03:47,,BLOCKBUSTER: Season 1: Evan and Trevin (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:15:20,Not latest view,IN (India)
Anisha,2023-09-27 19:37:56,00:00:17,Autoplayed: user action: None; ,Season 1 Plot Clip: BLOCKBUSTER,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:17,00:00:17,IN (India)
Anisha,2023-09-27 19:36:37,00:00:11,Autoplayed: user action: None; ,Main Character Clip 2: The Wonderful Story of Henry Sugar,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:11,00:00:11,IN (India)
Anisha,2023-09-27 07:42:32,00:38:13,,Khoobsurat,,Netflix Chrome MAC (Cadmium) HTML 5,01:09:37,Not latest view,IN (India)
Anisha,2023-09-27 03:11:00,00:11:43,,BLOCKBUSTER: Season 1: Evan and Trevin (Episode 3),,Apple iPhone 13 Pro,00:11:43,Not latest view,IN (India)
Anisha,2023-09-26 19:32:48,00:00:33,Autoplayed: user action: None; ,The Office (U.S.): Season 1 - CLM 8,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:33,00:00:33,IN (India)
Anisha,2023-09-26 19:31:26,00:01:00,Autoplayed: user action: None; ,The Big Bang Theory: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:01:00,Not latest view,IN (India)
Anisha,2023-09-26 19:25:49,00:00:04,Autoplayed: user action: None; ,Season 1 Supporting Character Clip: BLOCKBUSTER,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Anisha,2023-09-26 19:25:23,00:02:06,,Season 1 Trailer: The Night Agent,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:00,00:00:00,IN (India)
Anisha,2023-09-26 19:18:12,00:06:59,,The Big Bang Theory: Season 7: The Anything Can Happen Recurrence (Episode 21),,Netflix Chrome MAC (Cadmium) HTML 5,00:18:23,00:18:23,IN (India)
Anisha,2023-09-26 19:17:58,00:00:10,,The Big Bang Theory: Season 7: The Relationship Diremption (Episode 20),,Netflix Chrome MAC (Cadmium) HTML 5,00:17:16,00:17:16,IN (India)
Anisha,2023-09-26 19:17:51,00:00:05,,The Big Bang Theory: Season 7: The Indecision Amalgamation (Episode 19),,Netflix Chrome MAC (Cadmium) HTML 5,00:11:59,00:11:59,IN (India)
Anisha,2023-09-26 19:17:38,00:00:03,,The Office (U.S.): Season 2: Performance Review (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:03,Not latest view,IN (India)
Anisha,2023-09-26 19:16:41,00:00:53,,The Office (U.S.): Season 2: The Client (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:51,00:20:51,IN (India)
Anisha,2023-09-26 11:40:19,00:11:04,,The Big Bang Theory: Season 7: The Anything Can Happen Recurrence (Episode 21),,Apple iPhone 13 Pro,00:11:24,Not latest view,IN (India)
Anisha,2023-09-26 08:06:21,00:13:18,,The Office (U.S.): Season 2: The Client (Episode 7),,Apple iPhone 13 Pro,00:21:03,Not latest view,IN (India)
Anisha,2023-09-26 03:22:01,00:07:17,,The Office (U.S.): Season 2: The Client (Episode 7),,Apple iPhone 13 Pro,00:07:45,Not latest view,IN (India)
Anisha,2023-09-25 09:09:01,00:00:07,Autoplayed: user action: None; ,Season 1 Trailer: The Night Agent,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:07,Not latest view,IN (India)
Anisha,2023-09-25 08:34:18,00:20:16,,The Big Bang Theory: Season 7: The Relationship Diremption (Episode 20),,Netflix Chrome MAC (Cadmium) HTML 5,00:20:16,Not latest view,IN (India)
Anisha,2023-09-25 08:30:07,00:04:10,,The Big Bang Theory: Season 7: The Indecision Amalgamation (Episode 19),,Netflix Chrome MAC (Cadmium) HTML 5,00:18:54,Not latest view,IN (India)
Anisha,2023-09-25 07:31:12,00:10:49,,The Big Bang Theory: Season 7: The Indecision Amalgamation (Episode 19),,Netflix Chrome MAC (Cadmium) HTML 5,00:14:44,Not latest view,IN (India)
Anisha,2023-09-25 07:31:00,00:00:04,Autoplayed: user action: None; ,The Big Bang Theory: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,IN (India)
Anisha,2023-09-25 07:30:58,00:00:04,Autoplayed: user action: None; ,Season 1 Trailer: The Night Agent,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,Not latest view,IN (India)
Anisha,2023-09-25 03:06:06,00:03:36,,The Big Bang Theory: Season 7: The Indecision Amalgamation (Episode 19),,Apple iPhone 13 Pro,00:03:55,Not latest view,IN (India)
Anisha,2023-09-24 03:04:16,00:00:04,Autoplayed: user action: None; ,Trailer: No Hard Feelings,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,IN (India)
Anisha,2023-09-23 20:16:53,00:13:15,,The Office (U.S.): Season 2: The Fight (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:26,00:21:26,IN (India)
Anisha,2023-09-23 18:59:12,00:07:58,,The Office (U.S.): Season 2: The Fight (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,00:08:22,Not latest view,IN (India)
Anisha,2023-09-23 18:38:07,00:21:03,,The Office (U.S.): Season 2: Halloween (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:21:30,00:21:30,IN (India)
